City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Leningradskiy,RU,69.3833,178.4167,33.58,84,66,9.42,broken clouds
1,Westport,US,41.1415,-73.3579,65.53,75,0,6.91,clear sky
2,Elko,US,41.0002,-115.5012,53.64,39,0,3.0,clear sky
3,Hobart,AU,-42.8794,147.3294,41.05,75,75,11.5,broken clouds
4,Rosetta,EG,31.4044,30.4164,79.09,68,0,12.5,clear sky
5,Baillif,GP,16.0202,-61.7463,78.3,80,16,11.86,few clouds
6,New Norfolk,AU,-42.7826,147.0587,40.71,82,34,1.99,scattered clouds
7,Provideniya,RU,64.3833,-173.3,45.81,63,71,0.87,broken clouds
8,Qaanaaq,GL,77.484,-69.3632,26.28,94,99,2.64,overcast clouds
9,Faanui,PF,-16.4833,-151.75,79.99,74,51,14.41,light rain
10,Kodiak,US,57.79,-152.4072,49.51,81,100,5.75,overcast clouds
11,Bluff,NZ,-46.6,168.3333,53.8,76,2,13.98,clear sky
12,Svogerslev,DK,55.6342,12.0147,60.8,61,75,8.05,broken clouds
13,Port Elizabeth,ZA,-33.918,25.5701,66.49,48,0,2.3,clear sky
14,Cape Town,ZA,-33.9258,18.4232,79.12,38,0,3.0,clear sky
15,Albany,US,42.6001,-73.9662,65.73,66,93,3.6,overcast clouds
16,Nouadhibou,MR,20.931,-17.0347,69.78,78,100,18.41,overcast clouds
17,Camana,PE,-16.6228,-72.7111,62.04,91,79,6.4,broken clouds
18,Portlethen,GB,57.0547,-2.1307,53.37,79,100,10.36,overcast clouds
19,Ribeira Grande,PT,38.5167,-28.7,64.8,100,75,12.66,fog
20,Hithadhoo,MV,-0.6,73.0833,83.5,65,67,3.56,broken clouds
21,Kristiinankaupunki,FI,62.2743,21.376,54.91,57,69,11.18,broken clouds
22,Kedrovyy,RU,56.1667,91.8167,52.21,49,93,6.33,overcast clouds
23,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,88,40,13.8,scattered clouds
24,Katiola,CI,8.1333,-5.1,74.7,82,96,2.37,overcast clouds
25,Longyearbyen,SJ,78.2186,15.6401,44.44,61,75,24.16,broken clouds
26,Hermanus,ZA,-34.4187,19.2345,69.04,41,1,7.49,clear sky
27,Salinopolis,BR,-0.6136,-47.3561,75.16,90,84,5.93,broken clouds
28,Rikitea,PF,-23.1203,-134.9692,72.61,63,53,16.11,broken clouds
29,Hilo,US,19.7297,-155.09,77.29,96,12,4.92,few clouds
30,Bethel,US,41.3712,-73.414,64.27,77,0,0.0,clear sky
31,Kavieng,PG,-2.5744,150.7967,81.7,78,100,9.51,light rain
32,Atuona,PF,-9.8,-139.0333,78.12,72,1,15.03,clear sky
33,Arraial Do Cabo,BR,-22.9661,-42.0278,68.25,67,87,6.17,overcast clouds
34,Norman Wells,CA,65.282,-126.8329,51.89,70,100,3.58,overcast clouds
35,Mar Del Plata,AR,-38.0023,-57.5575,49.08,80,0,4.61,clear sky
36,Cabo San Lucas,MX,22.8909,-109.9124,69.51,72,0,7.0,clear sky
37,Vao,NC,-22.6667,167.4833,74.16,74,100,7.99,overcast clouds
38,Termiz,UZ,37.2242,67.2783,98.69,9,0,4.61,clear sky
39,Kapaa,US,22.0752,-159.319,75.18,91,0,10.36,clear sky
40,Teya,RU,60.3778,92.6267,56.17,38,100,8.43,overcast clouds
41,Santa Rosa,PH,14.3122,121.1114,92.01,61,94,5.44,overcast clouds
42,Agadir,MA,30.4202,-9.5982,66.65,65,11,3.8,few clouds
43,Samana,DO,19.2056,-69.3369,75.92,92,95,3.4,overcast clouds
44,Mandan,US,46.8267,-100.8896,51.96,77,100,5.75,overcast clouds
45,Jamestown,US,42.097,-79.2353,69.03,72,75,9.22,broken clouds
46,Chiredzi,ZW,-21.05,31.6667,66.45,51,7,7.16,clear sky
47,Dikson,RU,73.5069,80.5464,31.44,91,47,4.27,scattered clouds
48,Saskylakh,RU,71.9167,114.0833,52.25,54,38,5.21,scattered clouds
49,Bredasdorp,ZA,-34.5322,20.0403,69.35,27,26,5.19,scattered clouds
50,Marquette,US,46.5333,-87.6335,48.78,96,100,6.31,overcast clouds
51,Lagos,NG,6.5833,3.75,79.12,78,31,3.24,scattered clouds
52,Nikolskoye,RU,59.7035,30.7861,65.79,35,9,4.97,clear sky
53,Nemuro,JP,43.3236,145.575,44.94,81,100,14.09,overcast clouds
54,Ola,RU,59.5833,151.2833,64.15,73,84,5.97,broken clouds
55,Gap,FR,44.6667,6.0,59.83,39,50,7.31,scattered clouds
56,Broome,US,42.2506,-75.833,66.69,60,75,7.0,broken clouds
57,Isangel,VU,-19.55,169.2667,74.62,76,81,6.73,broken clouds
58,Gamba,GA,-2.65,10.0,77.43,77,87,4.05,overcast clouds
59,Punta Arenas,CL,-53.15,-70.9167,37.51,65,0,16.11,clear sky
60,Butaritari,KI,3.0707,172.7902,81.73,79,44,14.16,light rain
61,Ushuaia,AR,-54.8,-68.3,44.26,49,40,17.27,scattered clouds
62,Formosa Do Rio Preto,BR,-11.0483,-45.1931,59.67,64,6,1.03,clear sky
63,Kulhudhuffushi,MV,6.6221,73.07,82.63,75,100,11.59,overcast clouds
64,Oisterwijk,NL,51.5792,5.1889,63.16,61,100,11.5,mist
65,Sakakah,SA,29.9697,40.2064,94.14,13,2,5.23,clear sky
66,Esqueda,MX,30.7167,-109.5833,71.11,27,0,4.83,clear sky
67,Busselton,AU,-33.65,115.3333,62.17,50,98,14.32,overcast clouds
68,Inuvik,CA,68.3499,-133.7218,34.47,75,44,13.31,scattered clouds
69,East London,ZA,-33.0153,27.9116,65.34,68,0,3.44,clear sky
70,Mataura,NZ,-46.1927,168.8643,53.47,91,5,3.11,clear sky
71,Temerloh,MY,3.4483,102.4176,91.17,52,63,1.39,broken clouds
72,Vostok,RU,46.4856,135.8833,66.85,47,41,2.73,scattered clouds
73,Qeshm,IR,26.9581,56.2719,105.67,41,0,11.21,clear sky
74,Barrow,US,71.2906,-156.7887,24.82,93,100,16.11,overcast clouds
75,Batagay,RU,67.6333,134.6333,76.14,16,13,8.55,few clouds
76,Castro,BR,-24.7911,-50.0119,56.46,98,100,3.51,overcast clouds
77,Mahebourg,MU,-20.4081,57.7,78.26,78,40,11.5,scattered clouds
78,Vaini,TO,-21.2,-175.2,71.76,73,20,6.91,few clouds
79,Waipawa,NZ,-41.4122,175.5153,55.22,73,100,9.26,overcast clouds
80,Yumen,CN,40.2833,97.2,84.7,10,17,11.43,few clouds
81,Madera,US,37.1666,-119.8343,72.23,49,0,4.16,clear sky
82,Gambo,CF,4.6482,22.2633,81.68,66,98,3.29,overcast clouds
